MSA,demoname,reclat,reclong,Population,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>",name
"Chicago Naperville Elgin, IL IN WI","Chicago Naperville Elgin, IL IN WI",41.87811,-87.6298,9549229,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Chicago Naperville Elgin, IL IN WI<br><a href=""http://45.35.64.128:8000/details.html?city=Chicago Naperville Elgin, IL IN WI"">Link to Page...</a>"
"Chico, CA","Chico, CA",39.72849,-121.837,225207,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Chico, CA<br><a href=""http://45.35.64.128:8000/details.html?city=Chico, CA"">Link to Page...</a>"
"Cincinnati, OH KY IN","Cincinnati, OH KY IN",39.10312,-84.512,2156723,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Cincinnati, OH KY IN<br><a href=""http://45.35.64.128:8000/details.html?city=Cincinnati, OH KY IN"">Link to Page...</a>"
"Clarksville, TN KY","Clarksville, TN KY",36.52977,-87.3595,278844,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Clarksville, TN KY<br><a href=""http://45.35.64.128:8000/details.html?city=Clarksville, TN KY"">Link to Page...</a>"
"Cleveland, TN","Cleveland, TN",35.15952,-84.8766,120388,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Cleveland, TN<br><a href=""http://45.35.64.128:8000/details.html?city=Cleveland, TN"">Link to Page...</a>"
"Cleveland Elyria, OH","Cleveland Elyria, OH",41.49932,-81.6944,2062764,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Cleveland Elyria, OH<br><a href=""http://45.35.64.128:8000/details.html?city=Cleveland Elyria, OH"">Link to Page...</a>"
"Coeur d'Alene, ID","Coeur d'Alene, ID",47.67768,-116.78,150128,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Coeur d'Alene, ID<br><a href=""http://45.35.64.128:8000/details.html?city=Coeur d'Alene, ID"">Link to Page...</a>"
"College Station Bryan, TX","College Station Bryan, TX",30.62798,-96.3344,248554,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","College Station Bryan, TX<br><a href=""http://45.35.64.128:8000/details.html?city=College Station Bryan, TX"">Link to Page...</a>"
"Colorado Springs, CO","Colorado Springs, CO",38.83388,-104.821,698595,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Colorado Springs, CO<br><a href=""http://45.35.64.128:8000/details.html?city=Colorado Springs, CO"">Link to Page...</a>"
"Columbia, MO","Columbia, MO",38.95171,-92.3341,174589,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Columbia, MO<br><a href=""http://45.35.64.128:8000/details.html?city=Columbia, MO"">Link to Page...</a>"
"Columbia, SC","Columbia, SC",34.00071,-81.0348,808377,<br>,"<a href=""http://45.35.64.128:8000/details.html?city=",""">Link to Page...</a>","Columbia, SC<br><a href=""http://45.35.64.128:8000/details.html?city=Columbia, SC"">Link to Page...</a>"
